season,round,race_name,driver_code,fp_session,fp_gap_to_best_seconds
2024,7,Emilia Romagna Grand Prix,PER,FP2,2.1415
2024,7,Emilia Romagna Grand Prix,PER,FP3,4.198
2024,7,Emilia Romagna Grand Prix,PIA,FP1,3.2395
2024,7,Emilia Romagna Grand Prix,PIA,FP2,3.621
2024,7,Emilia Romagna Grand Prix,PIA,FP3,0.0
2024,7,Emilia Romagna Grand Prix,RIC,FP1,1.952
2024,7,Emilia Romagna Grand Prix,RIC,FP2,0.876
2024,7,Emilia Romagna Grand Prix,RIC,FP3,0.804
2024,7,Emilia Romagna Grand Prix,RUS,FP1,3.304
2024,7,Emilia Romagna Grand Prix,RUS,FP2,1.27
2024,7,Emilia Romagna Grand Prix,RUS,FP3,0.7095
2024,7,Emilia Romagna Grand Prix,SAI,FP1,2.1545
2024,7,Emilia Romagna Grand Prix,SAI,FP2,4.066
2024,7,Emilia Romagna Grand Prix,SAI,FP3,1.187
2024,7,Emilia Romagna Grand Prix,SAR,FP1,3.666
2024,7,Emilia Romagna Grand Prix,SAR,FP2,1.561
2024,7,Emilia Romagna Grand Prix,SAR,FP3,0.7705
2024,7,Emilia Romagna Grand Prix,STR,FP1,0.643
2024,7,Emilia Romagna Grand Prix,STR,FP2,0.8525
2024,7,Emilia Romagna Grand Prix,STR,FP3,1.397
2024,7,Emilia Romagna Grand Prix,TSU,FP1,1.641
2024,7,Emilia Romagna Grand Prix,TSU,FP2,0.3255
2024,7,Emilia Romagna Grand Prix,TSU,FP3,0.809
2024,7,Emilia Romagna Grand Prix,VER,FP1,0.117
2024,7,Emilia Romagna Grand Prix,VER,FP2,0.0
2024,7,Emilia Romagna Grand Prix,VER,FP3,0.214
2024,7,Emilia Romagna Grand Prix,ZHO,FP1,1.424
2024,7,Emilia Romagna Grand Prix,ZHO,FP2,1.7705
2024,7,Emilia Romagna Grand Prix,ZHO,FP3,1.867
2024,8,Monaco Grand Prix,ALB,FP1,1.5125
2024,8,Monaco Grand Prix,ALB,FP2,2.1715
2024,8,Monaco Grand Prix,ALB,FP3,0.559
2024,8,Monaco Grand Prix,ALO,FP1,0.673
2024,8,Monaco Grand Prix,ALO,FP2,0.755
2024,8,Monaco Grand Prix,ALO,FP3,1.887
2024,8,Monaco Grand Prix,BOT,FP1,1.1815
2024,8,Monaco Grand Prix,BOT,FP2,1.488
2024,8,Monaco Grand Prix,GAS,FP1,1.8225
2024,8,Monaco Grand Prix,GAS,FP2,1.9024999999999999
2024,8,Monaco Grand Prix,GAS,FP3,0.693
2024,8,Monaco Grand Prix,HAM,FP1,1.5535
2024,8,Monaco Grand Prix,HAM,FP2,1.4344999999999999
2024,8,Monaco Grand Prix,HAM,FP3,0.0595
2024,8,Monaco Grand Prix,HUL,FP1,2.0425
2024,8,Monaco Grand Prix,HUL,FP2,2.555
2024,8,Monaco Grand Prix,HUL,FP3,0.6
2024,8,Monaco Grand Prix,LEC,FP1,0.0
2024,8,Monaco Grand Prix,LEC,FP2,0.0
2024,8,Monaco Grand Prix,LEC,FP3,0.1025
2024,8,Monaco Grand Prix,MAG,FP1,2.2545
2024,8,Monaco Grand Prix,MAG,FP2,2.15
2024,8,Monaco Grand Prix,MAG,FP3,0.65
2024,8,Monaco Grand Prix,NOR,FP1,1.0055
2024,8,Monaco Grand Prix,NOR,FP2,1.704
2024,8,Monaco Grand Prix,NOR,FP3,0.556
2024,8,Monaco Grand Prix,OCO,FP1,1.6595
2024,8,Monaco Grand Prix,OCO,FP2,1.427
2024,8,Monaco Grand Prix,OCO,FP3,1.427
2024,8,Monaco Grand Prix,PER,FP1,0.8145
2024,8,Monaco Grand Prix,PER,FP2,2.6959999999999997
2024,8,Monaco Grand Prix,PER,FP3,0.657
2024,8,Monaco Grand Prix,PIA,FP1,0.528
2024,8,Monaco Grand Prix,PIA,FP2,2.577
2024,8,Monaco Grand Prix,PIA,FP3,0.3265
2024,8,Monaco Grand Prix,RIC,FP1,1.2655
2024,8,Monaco Grand Prix,RIC,FP2,1.8935
2024,8,Monaco Grand Prix,RIC,FP3,0.7725
2024,8,Monaco Grand Prix,RUS,FP1,1.3295
2024,8,Monaco Grand Prix,RUS,FP2,0.989
2024,8,Monaco Grand Prix,RUS,FP3,0.281
2024,8,Monaco Grand Prix,SAI,FP1,0.114
2024,8,Monaco Grand Prix,SAI,FP2,1.018
2024,8,Monaco Grand Prix,SAI,FP3,0.0
2024,8,Monaco Grand Prix,SAR,FP1,2.0525
2024,8,Monaco Grand Prix,SAR,FP2,2.3305
2024,8,Monaco Grand Prix,SAR,FP3,1.098
2024,8,Monaco Grand Prix,STR,FP1,1.172
2024,8,Monaco Grand Prix,STR,FP2,1.0065
2024,8,Monaco Grand Prix,STR,FP3,0.715
2024,8,Monaco Grand Prix,TSU,FP1,0.1385
2024,8,Monaco Grand Prix,TSU,FP2,1.4929999999999999
2024,8,Monaco Grand Prix,TSU,FP3,0.356
2024,8,Monaco Grand Prix,VER,FP1,0.0105
2024,8,Monaco Grand Prix,VER,FP2,2.887
2024,8,Monaco Grand Prix,VER,FP3,0.112
2024,8,Monaco Grand Prix,ZHO,FP1,2.5855
2024,8,Monaco Grand Prix,ZHO,FP2,2.215
2024,8,Monaco Grand Prix,ZHO,FP3,2.4074999999999998
2024,9,Canadian Grand Prix,ALB,FP2,0.7935
2024,9,Canadian Grand Prix,ALB,FP3,2.438
2024,9,Canadian Grand Prix,ALO,FP2,0.405
2024,9,Canadian Grand Prix,ALO,FP3,1.3685
2024,9,Canadian Grand Prix,BOT,FP1,3.235
2024,9,Canadian Grand Prix,BOT,FP2,0.8075
2024,9,Canadian Grand Prix,BOT,FP3,1.113
2024,9,Canadian Grand Prix,GAS,FP1,3.149
2024,9,Canadian Grand Prix,GAS,FP2,2.9455
2024,9,Canadian Grand Prix,GAS,FP3,2.268
2024,9,Canadian Grand Prix,HAM,FP1,4.772
2024,9,Canadian Grand Prix,HAM,FP2,0.5355
2024,9,Canadian Grand Prix,HAM,FP3,1.8475000000000001
2024,9,Canadian Grand Prix,HUL,FP2,0.727
2024,9,Canadian Grand Prix,HUL,FP3,2.431
2024,9,Canadian Grand Prix,LEC,FP1,3.73
2024,9,Canadian Grand Prix,LEC,FP2,1.337
2024,9,Canadian Grand Prix,LEC,FP3,0.678
2024,9,Canadian Grand Prix,MAG,FP1,4.617
2024,9,Canadian Grand Prix,MAG,FP2,0.6365
2024,9,Canadian Grand Prix,MAG,FP3,2.5435
2024,9,Canadian Grand Prix,NOR,FP1,0.0
2024,9,Canadian Grand Prix,NOR,FP2,2.9995000000000003
2024,9,Canadian Grand Prix,NOR,FP3,1.6785
2024,9,Canadian Grand Prix,OCO,FP2,0.4355
2024,9,Canadian Grand Prix,OCO,FP3,2.1545
2024,9,Canadian Grand Prix,PER,FP1,4.207
2024,9,Canadian Grand Prix,PER,FP2,0.0
2024,9,Canadian Grand Prix,PER,FP3,0.371
2024,9,Canadian Grand Prix,PIA,FP1,2.319
2024,9,Canadian Grand Prix,PIA,FP2,2.0415
2024,9,Canadian Grand Prix,PIA,FP3,1.2275
2024,9,Canadian Grand Prix,RIC,FP1,5.027
2024,9,Canadian Grand Prix,RIC,FP2,0.2305
2024,9,Canadian Grand Prix,RIC,FP3,1.8285
2024,9,Canadian Grand Prix,RUS,FP1,4.106
2024,9,Canadian Grand Prix,RUS,FP2,1.1935
2024,9,Canadian Grand Prix,RUS,FP3,0.373
